date,sample.number,ziploc.number,species,wetweight,length,breadth,sizeindex,pre.bottle.number,incubation.start,incubation.end,incubation.time,post.bottle.number,vol.syringed,vol.measured,total.vol,pre.FLU1,pre.FLU2,pre.FLU3,pre.FLU.mean,post.FLU1,post.FLU2,post.FLU3,post.FLU.mean,post.FLU.mean.adjusted,FLU.difference,dilution.post (y/n)?,dilution.post.ratio
2019_08_01,C4,C4,NA,NA,NA,NA,,C2,9:28,10:41,68,B27,80,NA,NA,24.61,25.18,25.02,24.93666667,-7.336,-7.065,-7.08,-7.160333333,,,n,1
2019_08_01,C5,C5,NA,NA,NA,NA,,D25,9:30,10:40,70,B4,80,NA,NA,6.778,6.766,6.151,6.565,12.39,12.75,12.87,12.67,,,n,1
2019_08_01,C6,C6,NA,NA,NA,NA,,D13,9:20,10:39,79,C14,80,,,,,,,-3.408,-3.155,-3.265,-3.276,,,n,1
2019_08_01,FT21,FT21,ft,1047,45,22,,E4,9:40,10:44,64,B15,80,1470,1550,-33.14,-33.05,-33.07,,259,256.9,256.8,257.5666667,,,n,1
2019_08_01,FT22,FT22,ft,2001,41,30,,E2,9:43,10:46,63,B11,80,670,750,-8.623,-8.374,-8.283,,255,253.7,256.6,255.1,,,n,1
2019_08_01,FT23,FT23,ft,876,33,20,,C10,9:46,10:48,62,D10,80,1600,1680,-31.32,-31.18,-31.15,,231.2,229.4,232.8,231.1333333,,,y,0.333333333
2019_08_01,FT24,FT24,ft,598,37,19,,L1,9:49,10:50,61,D24,80,1700,1780,-19.67,-19.38,-19.62,,394.1,394.8,397.6,395.5,,,n,1
2019_08_01,FT25,FT25,ft,557,34,19,,D19,9:53,10:52,59,B29,80,1720,1800,-34.56,-34.52,-34.58,,38.62,36.92,38.13,37.89,,,n,1
2019_08_01,DD21,DD21,dd,1290,37,19,,D29,9:56,10:54,58,B8,80,940,1020,-26.34,-26.2,-25.48,,255.2,252.9,252.1,253.4,,,y,0.333333333
2019_08_01,DD22,DD22,dd,467,23,23,,D7,9:59,10:59,60,B2,80,1710,1790,-31.44,-31.25,-31.38,,448.5,450.9,450.7,450.0333333,,,n,1
2019_08_01,DD23,DD23,dd,1540,39,28,,C9,10:03,11:03,60,B3,80,820,900,-34.23,-34.23,-34.29,,462.3,463.3,462.2,462.6,,,n,1
2019_08_01,DD24,DD24,dd,750,36,23,,D27,10:06,11:06,60,B21,80,1410,1490,-34.42,-33.76,-33.63,,204.8,204.8,203.6,204.4,,,y,0.2
2019_08_01,DD25,DD25,dd,663,27,24,,D28,10:09,11:08,59,B23,80,1700,1780,-30.9,-30.56,-30.54,,572.2,573.5,575.2,573.6333333,,,n,1
2019_08_01,FT26,FT26,ft,669,27,20,,D1,11:16,12:16,60,B5,80,1700,1780,-12.16,-11.81,-11.59,,232.6,235.3,234.6,234.1666667,,,y,0.333333333
2019_08_01,FT27,FT27,ft,1201,30,27,,D4,11:19,12:19,60,B7,80,1330,1410,-3.833,-4.014,-3.783,,476.6,474,478.1,476.2333333,,,n,1
2019_08_01,FT28,FT28,ft,954,33,23,,D12,11:21,12:22,61,B25,80,1670,1750,-12.98,-13.12,-13.33,,272.8,274.3,274.8,273.9666667,,,y,0.333333333
2019_08_01,FT29,FT29,ft,980,40,20,,D20,11:24,12:25,61,D11,80,1850,1930,-11.79,-12.15,-11.9,,402.3,406.4,405.5,404.7333333,,,n,1
2019_08_01,FT30,FT30,ft,569,23,25,,D22,11:26,12:29,63,C11,80,1690,1770,-14.7,-14.56,-15.13,,490.9,491.2,493.7,491.9333333,,,n,1
2019_08_01,DD26,DD26,dd,993,35,23,,E1,11:28,12:31,63,D16,80,1570,1650,-3.814,-4.335,-4.119,,224.6,223,222,223.2,,,y,0.333333333
2019_08_01,DD27,DD27,dd,684,24,22,,C12,11:31,12:32,61,C5,80,1780,1860,-7.549,-6.882,-6.99,,213,210,211.5,211.5,,,y,0.333333333
2019_08_01,DD28,DD28,dd,368,23,16,,C13,11:33,12:33,60,D30,80,1960,2040,-11.24,-10.85,-11.05,,354.8,356.5,358.5,356.6,,,n,1
2019_08_01,DD29,DD29,dd,1311,37,26,,D32,11:35,12:35,60,D18,80,1440,1520,2.73,4.342,2.973,,533.9,534.6,536.2,534.9,,,n,1
2019_08_01,DD30,DD30,dd,883,31,21,,D23,11:37,12:37,60,D14,80,1560,1640,85.69,85.65,85.14,,389,389.7,392.4,390.3666667,,,n,1
